,score,algorithm,file,runtime,params_dict,size,nr_entries,nr_entries_original,nr_particles,nr_timesteps,nr_clusters,nr_entries_binned,nr_entries_original_binned
124,0.0,"HDBSCAN, delta",calovi_300_75.csv,0.005747556686401367,{},3000,2100,2100,7,300,2,800,800
125,0.6796313422125446,"Affinity, delta",calovi_300_75.csv,0.0065212249755859375,{},3000,2100,2100,7,300,2,800,800
126,1.0,"Spectral, delta+1std",calovi_300_75.csv,0.011637449264526367,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
127,0.0,"HDBSCAN, delta+1std",calovi_300_75.csv,0.010702371597290039,{},3000,2100,2100,7,300,2,800,800
128,0.5796485846177598,"Affinity, delta+1std",calovi_300_75.csv,0.012033224105834961,{},3000,2100,2100,7,300,2,800,800
129,1.0,"Spectral, delta",calovi_300_75.csv,0.008923053741455078,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
130,0.0,"HDBSCAN, delta",calovi_300_75.csv,0.007716178894042969,{},3000,2100,2100,7,300,2,800,800
131,0.6796313422125446,"Affinity, delta",calovi_300_75.csv,0.008591890335083008,{},3000,2100,2100,7,300,2,800,800
132,1.0,"Spectral, delta+2std",calovi_300_75.csv,0.015636920928955078,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
133,0.0,"HDBSCAN, delta+2std",calovi_300_75.csv,0.014705181121826172,{},3000,2100,2100,7,300,2,800,800
134,0.5796485846177598,"Affinity, delta+2std",calovi_300_75.csv,0.016145944595336914,{},3000,2100,2100,7,300,2,800,800
135,1.0,"Spectral, stddv",calovi_300_75.csv,0.008182287216186523,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
136,0.0,"HDBSCAN, stddv",calovi_300_75.csv,0.006970882415771484,{},3000,2100,2100,7,300,2,800,800
137,0.6002642931743026,"Affinity, stddv",calovi_300_75.csv,0.007676124572753906,{},3000,2100,2100,7,300,2,800,800
